normalized_name,canonical_name
genclerbirligi,Gençlerbirligi
genk,Genk
genoa,Genoa
genoa cfc,Genoa Cfc
gent,Gent
getafe,Getafe
getafe cf,Getafe Cf
ghazl el mehalla,Ghazl El Mehalla
gil vicente,Gil Vicente
gil vicente fc,Gil Vicente Fc
gimnasia l.p.,Gimnasia L.P.
giresunspor,Giresunspor
girona,Girona
girona fc,Girona Fc
go ahead eagles,Go Ahead Eagles
godoy cruz,Godoy Cruz
goias,Goias
goztep,Goztep
goztepe,Göztepe
graafschap,Graafschap
granada,Granada
gremio,Gremio
greuther furth,Greuther Furth
groningen,Groningen
guimaraes,Guimaraes
guingamp,Guingamp
hamburg,Hamburg
hamburger sv,Hamburger Sv
hamilton,Hamilton
hannover,Hannover
haras el hodood,Haras El Hodood
hassania agadir,Hassania Agadir
hatayspor,Hatayspor
havre athletic club,Havre Athletic Club
heart of midlothian,Heart Of Midlothian
hearts,Hearts
heerenveen,Heerenveen
heidenheim,Heidenheim
hellas verona fc,Hellas Verona Fc
heracles,Heracles
heracles almelo,Heracles Almelo
hertha,Hertha
hibernian,Hibernian
hibernian fc,Hibernian Fc
hoffenheim,Hoffenheim
holstein kiel,Holstein Kiel
huddersfield,Huddersfield
huesca,Huesca
hull city,Hull City
huracan,Huracan
independiente,Independiente
ingolstadt,Ingolstadt
instituto cordoba,Instituto Cordoba
inter,Inter
internacional,Internacional
inverness c,Inverness C
ipswich town,Ipswich Town
ismaily sc,Ismaily Sc
istanbul basaksehir,Istanbul Basaksehir
istanbulspor,Istanbulspor
ittihad tanger,Ittihad Tanger
juventude,Juventude
juventus,Juventus
kaa gent,KAA Gent
karabukspor,Karabukspor
karagumruk,Karagumruk
kasimpasa,Kasimpasa
kayserispor,Kayserispor
kilmarnock,Kilmarnock
kilmarnock fc,Kilmarnock Fc
kocaelispor,Kocaelispor
konyaspor,Konyaspor
kortrijk,Kortrijk
kv mechelen,Kv Mechelen
kvc westerlo,Kvc Westerlo
la coruna,La Coruna
lanus,Lanus
las palmas,Las Palmas
lazio,Lazio
le havre,Le Havre
lecce,Lecce
leeds,Leeds
leeds united,Leeds United
leeds united fc,Leeds United Fc
leganes,Leganes
leicester city,Leicester City
lens,Lens
levante,Levante
levante ud,Levante Ud
lille,Lille
liverpool,Liverpool
liverpool fc,Liverpool Fc
livingston,Livingston
livingston fc,Livingston Fc
lokeren,Lokeren
lorient,Lorient
losc lille,Losc Lille
luton,Luton
lyon,Lyon
m'gladbach,M'Gladbach
maghreb fes,Maghreb Fès
malaga,Malaga
mallorca,Mallorca
manchester city,Manchester City
manchester city fc,Manchester City Fc
manchester united fc,Manchester United Fc
maritimo,Maritimo
marnock fc,Marnock Fc
marseille,Marseille
masr,Masr
mechelen,Mechelen
mersin idman yurdu,Mersin Idman Yurdu
metz,Metz
middlesbrough,Middlesbrough
milan,Milan
millwall,Millwall
millwall fc,Millwall Fc
milton keynes dons,Milton Keynes Dons
misr el makasa,Misr El Makasa
moghreb tetouan,Moghreb Tetouan
monaco,Monaco
montpellier,Montpellier
monza,Monza
moreirense,Moreirense
moreirense fc,Moreirense Fc
motherwell,Motherwell
motherwell fc,Motherwell Fc
mouloudia oujda,Mouloudia Oujda
mouscron,Mouscron
mouscron-peruwelz,Mouscron-Peruwelz
n.e.c. nijmegen,N.E.C. Nijmegen
nac breda,Nac Breda
nacional,Nacional
nancy,Nancy
nantes,Nantes
napoli,Napoli
national bank of egypt,National Bank Of Egypt
newcastle,Newcastle
newcastle united fc,Newcastle United Fc
newells old boys,Newells Old Boys
nice,Nice
nijmegen,Nijmegen
nimes,Nimes
norwich city,Norwich City
norwich city fc,Norwich City Fc
nott'm forest,Nott'M Forest
nottingham forest,Nottingham Forest
nottingham forest fc,Nottingham Forest Fc
nurnberg,Nurnberg
ogc nice,Ogc Nice
olympique de marseille,Olympique De Marseille
olympique khouribga,Olympique Khouribga
olympique lyonnais,Olympique Lyonnais
olympique safi,Olympique Safi
oostende,Oostende
osasuna,Osasuna
osmanlispor,Osmanlispor
oud-heverlee leuven,Oud-Heverlee Leuven
oxford,Oxford
oxford united,Oxford United
oxford united fc,Oxford United Fc
pacos ferreira,Pacos Ferreira
paderborn,Paderborn
palermo,Palermo
palmeiras,Palmeiras
paris fc,Paris Fc
paris saint-germain,Paris Saint-Germain
paris sg,Paris Sg
parma,Parma
parma calcio 1913,Parma Calcio 1913
partick,Partick
patronato,Patronato
pec zwolle,Pec Zwolle
pendikspor,Pendikspor
pescara,Pescara
peterboro,Peterboro
pharco,Pharco
platense,Platense
plymouth,Plymouth
portimonense,Portimonense
porto,Porto
portsmouth,Portsmouth
portsmouth fc,Portsmouth Fc
preston north end,Preston North End
psg,Psg
psv,Psv
psv eindhoven,Psv Eindhoven
pyramids fc,Pyramids Fc
queens park rangers,Queens Park Rangers
queens park rangers fc,Queens Park Rangers Fc
raal la louviere,RAAL La Louvière
racing club,Racing Club
raja casablanca,Raja Casablanca
rangers,Rangers
rangers fc,Rangers Fc
rapide oued zem,Rapide Oued Zem
rayo vallecano,Rayo Vallecano
rb bragantino,Rb Bragantino
rb leipzig,Rb Leipzig
rc lens,Rc Lens
rc strasbourg alsace,Rc Strasbourg Alsace
rcd espanyol de barcelona,Rcd Espanyol De Barcelona
rcd mallorca,Rcd Mallorca
reading,Reading
real betis,Real Betis
real madrid,Real Madrid
real oviedo,Real Oviedo
real sociedad,Real Sociedad
reims,Reims
renaissance berkane,Renaissance Berkane
rennes,Rennes
riadi salmi,Riadi Salmi
rio ave,Rio Ave
rio ave fc,Rio Ave Fc
river plate,River Plate
rizespor,Rizespor
roda,Roda
roma,Roma
rosario central,Rosario Central
ross county,Ross County
rotherham,Rotherham
royal antwerp fc,Royal Antwerp FC
rsc anderlecht,Rsc Anderlecht
rwd molenbeek,Rwd Molenbeek
salernitana,Salernitana
sampdoria,Sampdoria
samsunspor,Samsunspor
san lorenzo,San Lorenzo
santa clara,Santa Clara
santos,Santos
sao paulo,Sao Paulo
sarmiento junin,Sarmiento Junin
sassuolo,Sassuolo
sc braga,Sc Braga
sc freiburg,Sc Freiburg
sc heerenveen,Sc Heerenveen
schalke 04,Schalke 04
seraing,Seraing
setubal,Setubal
sevilla,Sevilla
sevilla fc,Sevilla Fc
sheffield united,Sheffield United
sheffield wednesday,Sheffield Wednesday
sheffield wednesday fc,Sheffield Wednesday Fc
sint-truidense vv,Sint-Truidense Vv
sivasspor,Sivasspor
sl benfica,Sl Benfica
smouha sc,Smouha Sc
sociedad,Sociedad
southampton,Southampton
sp braga,Sp Braga
